0.71	 -1.9210269025436861 +0.9928743130838004	 -0.6932939119630652 +2.0125026057437334
0.72	 -1.9504208217012187 +0.9921824557874857	 -0.717372735611516 +2.035958777861049
0.73	 -1.979538418010907 +0.9914891718013076	 -0.741361157759674 +2.059132912430425
0.74	 -2.0083875355550562 +0.9907958128551281	 -0.7652582725166327 +2.0820318214132683
0.75	 -2.036975643162311 +0.9901035694830989	 -0.7890633175774292 +2.1046620557656164
0.76	 -2.0653098320943926 +0.9894134885967103	 -0.8127756388083939 +2.127029918987554
0.77	 -2.0933968762227186 +0.9887264890725442	 -0.8363946799813082 +2.1491414825497412
0.78	 -2.1212432215829096 +0.9880433755937598	 -0.8599199963059765 +2.1710025965542794
0.79	 -2.1488550022338058 +0.9873648509534136	 -0.8833512340835814 +2.192618902635042
0.8	 -2.1762381092988594 +0.9866915270012298	 -0.9066881111322953 +2.2139958438179006
0.81	 -2.2033981458573533 +0.986023934392458	 -0.9299304273077615 +2.235138675085807
0.82	 -2.2303404745971274 +0.9853625312775963	 -0.9530780601264681 +2.256052472782322
0.83	 -2.257070232747123 +0.9847077110546171	 -0.9761309384085027 +2.276742143098302
0.84	 -2.2835923438161463 +0.9840598092903878	 -0.9990890511153165 +2.297212429989918
0.85	 -2.309911515683878 +0.9834191099050342	 -1.0219524570754026 +2.317467923309518
0.86	 -2.3360322722274764 +0.9827858507017082	 -1.0447212372455252 +2.3375130654529475
0.87	 -2.361958958679551 +0.9821602283144029	 -1.0673955397485457 +2.3573521582349426
0.88	 -2.3876957391091964 +0.9815424026378922	 -1.0899755492494103 +2.3769893692381157
0.89	 -2.413246624509175 +0.9809325007963278	 -1.1124614899526801 +2.3964287376826623
0.9	 -2.438615474565786 +0.9803306207005438	 -1.134853609468965 +2.4156741794573624
0.91	 -2.4638059850784684 +0.9797368342382706	 -1.1571522017167915 +2.4347294931683248
0.92	 -2.4888217431655772 +0.9791511901365024	 -1.179357581159628 +2.453598364654205
0.93	 -2.5136661886271225 +0.9785737165307975	 -1.2014700956561606 +2.472284371448396
0.94	 -2.538342644524352 +0.9780044232723517	 -1.2234901149977393 +2.4907909875774794
0.95	 -2.562854304935334 +0.9774433040003311	 -1.245418025087561 +2.5091215875326167
0.96	 -2.5872042649199645 +0.9768903380038355	 -1.2672542401192062 +2.527279449665174
0.97	 -2.611395518914032 +0.9763454918952648	 -1.2889991926039805 +2.5452677613908414
