0.01	0.000015509887041978932 +1.7399659449129795E-9	 -13.4743422749371 +1.739965950726625E-9
0.02	0.0000207189956132357 -2.65035663405618E-9	 -0.30158824094784387 -2.6503566694781E-9
0.03	0.000012105108449186782 +1.5038485739551742E-9	3.252997190539623 +1.5038486191776586E-9
0.04	 -0.000013529689114109175 -1.080565784324793E-9	 -0.30159019197074916 -1.0805658420916846E-9
0.05	0.000013828340945144223 +1.907083040227012E-9	 -1.0693548574828218 +1.907083199527617E-9
0.06	7.311967373703333E-6 +5.647533846918022E-10	0.3256925225622922 +5.64753452622983E-10
0.07	 -2.622928212337717E-6 -7.291726879724891E-10	 -0.17539392186438574 -7.291728073532392E-10
0.08	5.841143569619412E-6 +4.761178674392436E-10	0.05126555066469349 +4.76117969252023E-10
0.09	1.4960997113441273E-6 +1.9952377602404377E-10	0.34118762912730405 +1.9952383002326872E-10
0.1	 -6.678036297313594E-6 -1.6667001168764551E-9	0.014560947330594402 -1.6667006737612144E-9
0.11	4.122477148653329E-6 +6.493180974897582E-10	 -0.09374457533904963 +6.493183600027244E-10
0.12	4.5361999936075235E-6 +1.6220990308890928E-9	0.18630578396643688 +1.6220998113438914E-9
0.13	 -8.557612109375103E-6 -1.582932029724621E-9	 -0.11914099540786714 -1.582932923558657E-9
0.14	1.5148819211727067E-6 +4.893773668204233E-9	0.04406198775814539 +4.8937768730555576E-9
0.15	3.4660014496997365E-6 +1.235195760819693E-9	0.06363386827212868 +1.235196689414536E-9
0.16	2.2737778795932103E-6 +3.10352535930068E-9	0.0071575482624637145 +3.103528013926066E-9
0.17	 -6.433603927133744E-7 +2.78975982695296E-10	 -0.0009028594813497858 +2.789762520798325E-10
0.18	 -7.464869348175987E-6 -1.9565870846363365E-10	0.021088537260425255 -1.956589202764435E-10
0.19	 -2.368984917632554E-6 -3.0181632358374157E-11	0.07895354975190957 -3.018166876311822E-11
0.2	5.05980321568805E-6 +1.4189279110624425E-9	 -0.1660879134238108 +1.4189298074557194E-9
0.21	 -1.6057938178501325E-6 -1.4174105566152474E-9	0.05869005388679911 -1.4174126451531737E-9
0.22	 -3.5903008652995695E-6 -1.5225808250583125E-9	 -0.03719436566123538 -1.5225832873180446E-9
0.23	 -1.251255244799015E-6 -1.5979094039419502E-9	0.045955284074413724 -1.5979122282756127E-9
0.24	 -1.5714589022974434E-6 +2.5039157154450577E-9	0.020769600124285463 +2.5039205343726528E-9
0.25	 -1.3976708893787198E-6 -7.663244800876419E-10	0.00011433483280353794 -7.663260803860152E-10
0.26	 -3.374345668463421E-6 -1.297923646343757E-9	0.04531781425666176 -1.297926577939787E-9
0.27	 -1.6306562723979436E-6 -9.87509604656326E-10	0.0015874598193771883 -9.87512010000235E-10
0.28	 -2.749935951576979E-6 -1.7192640834494938E-9	0.022113567755092666 -1.7192685871242133E-9
0.29	5.470340218599395E-6 +6.395082598466821E-10	 -0.03947068491491892 +6.395100568569468E-10
0.3	 -1.5458769663862565E-6 -6.42644491405754E-10	 -0.007738231347234832 -6.42646423915734E-10
0.31	 -1.2574561659911759E-6 +2.3448108454208664E-10	 -0.0004607041398390652 +2.3448183744623984E-10
0.32	3.92679223392844E-7 +2.2659386426153973E-9	0.014507923232776596 +2.2659463953807407E-9
0.33	2.776969646826425E-7 -4.607335219542548E-10	0.005117906035387157 -4.6073519838754103E-10
0.34	 -9.926671164403497E-7 +2.013401759308291E-9	 -0.007031331204571087 +2.0134095360363097E-9
0.35	1.3853384349136764E-6 -4.2972836284109365E-9	 -0.006852828412587751 -4.297301217315404E-9
0.36	 -1.2014226768997105E-6 +2.4989790118938386E-10	0.02367338646646578 +2.4989898331167713E-10
0.37	2.5281945305003454E-6 -4.4012726243588266E-10	0.0014630440548202201 -4.401292756524964E-10
0.38	 -7.368502679128142E-7 +5.422201976067374E-10	 -0.011034865886304916 +5.42222813690984E-10
0.39	1.9560553289044977E-6 +8.924847803784694E-10	0.02095759890697953 +8.924893160221605E-10
0.4	 -1.5424849580001507E-6 -1.5046812721835307E-9	 -0.0004896887257485913 -1.5046893162092943E-9
0.41	5.174927566629237E-7 -1.0649593573340242E-9	 -0.0029560152965857427 -1.0649653388292535E-9
0.42	 -1.7929965381384776E-6 -3.008934674771124E-9	0.013172456912102419 -3.0089524093309426E-9
0.43	5.300011667730831E-7 +3.6981785089248896E-10	 -0.02240936118989604 +3.698201356173997E-10
0.44	 -1.384808660565829E-6 +2.718792729243075E-10	 -0.014571868760978329 +2.718810316198028E-10
0.45	9.972581541138357E-7 +2.074718871668849E-9	 -0.01368440655383341 +2.074732909290982E-9
0.46	6.201193824777132E-7 +2.4652433672385617E-9	 -0.0010642263026465182 +2.4652607967330502E-9
0.47	 -1.5706545258143266E-6 -2.1781863765081616E-9	0.00029466648990179504 -2.178202453328178E-9
0.48	8.142671758917088E-7 -2.1065110675682784E-9	 -0.0010121701129272062 -2.106527284014471E-9
0.49	1.110473147247359E-6 +1.3776225634548791E-9	 -0.006483997434316877 +1.3776336152275493E-9
0.5	 -2.56417652937873E-7 -1.3851477613609715E-10	0.007821591881656365 -1.3851593316903056E-10
0.51	1.4149250723170956E-6 -6.180951000949216E-10	0.01861725158075358 -6.18100471715561E-10
0.52	 -2.3857129210429975E-7 +1.8148958996965487E-9	0.01105709320950365 +1.8149122968387244E-9
0.53	 -1.5380085024482334E-6 +1.204994621231352E-10	0.00437276394742454 +1.2050059308166216E-10
0.54	 -1.6137421562655583E-6 +7.945822328426555E-10	0.000056273415867525286 +7.945899745416041E-10
0.55	 -1.3861692156911818E-6 -1.3660416291637547E-9	 -0.0007279293445545018 -1.3660554361630242E-9
0.56	1.2928552471883584E-6 +6.22553149299271E-10	0.004284031515020893 +6.225596725272593E-10
0.57	 -1.3047720436268854E-6 -1.9342354945654825E-9	 -0.003963652493417335 -1.934256492143859E-9
0.58	5.2589851091195463E-8 -1.2895286511623842E-9	0.00003139855305928702 -1.2895431454614317E-9
0.59	 -2.5279789676241542E-6 -1.8251896334620025E-9	 -0.005416859781117064 -1.8252108621100112E-9
0.6	 -1.937446456765799E-7 -2.30672335009168E-9	 -0.0043940094763591465 -2.306751096605109E-9
0.61	 -1.1451594061824195E-6 -4.763482187247281E-9	 -0.004139257814263904 -4.7635414108344504E-9
0.62	1.097246744755601E-6 +3.1371209638371967E-9	 -0.0024830604864100087 +3.137161256431094E-9
