0.01	 -4.736436362459581E-9 -1.1735662134494675E-10	0.0006578484844179584 -1.17357293015451E-10
0.02	4.768474162033355E-8 -2.999348857811909E-11	 -0.0003509806011860358 -2.999417523437481E-11
0.03	 -1.6600277827247163E-8 -1.0395893412452691E-10	 -3.2732702381005546E-6 -1.0396428916736483E-10
0.04	8.939444575530698E-9 +1.2148472289142104E-10	 -0.00001987098897107789 +1.2149584812074327E-10
0.05	 -2.2700964564926885E-8 -1.0403994464882393E-11	 -0.00002643943269755424 -1.0405483204098883E-11
0.06	8.88810467200882E-9 -7.153744990064036E-11	 -0.000048042212939808986 -7.155219094099631E-11
0.07	 -1.4106764217663785E-8 -2.191738658570631E-10	2.598115832170762E-6 -2.192353400995595E-10
0.08	1.5338534491920402E-8 +1.5372191178872285E-10	0.000013926723806771216 +1.537782292065467E-10
0.09	 -1.5133055960611137E-8 -1.899353790869237E-11	2.5775286449729677E-6 -1.900234513187375E-11
0.1	 -1.2415732738209801E-8 -4.181846770521821E-11	 -9.705869780313386E-8 -4.1842408570890986E-11
0.11	3.0777001358972955E-9 +4.4749722471165555E-11	 -3.373458839022263E-6 +4.478072331804549E-11
0.12	1.647164597310772E-8 +2.1296527192894495E-10	9.318111813014538E-7 +2.1314086109573256E-10
0.13	3.2187467506143244E-9 -4.60182825387996E-11	9.619330434418316E-7 -4.606281478808492E-11
0.14	 -9.628663298776195E-11 -1.7008896386711798E-10	0.0000227902655110215 -1.702798715035408E-10
0.15	1.4456209464065573E-8 -7.780206546457436E-11	0.000012119535054282508 -7.790231925501508E-11
0.16	1.4929083418051216E-8 -6.492059931482273E-11	 -0.0000450634186695656 -6.501578862857908E-11
0.17	2.3638725808070744E-8 +9.276552691866797E-11	 -0.00003763096050893413 +9.291909155414644E-11
0.18	3.109063242247969E-8 -1.356626338163015E-10	 -0.00001929420261538018 -1.3591443371179144E-10
0.19	3.874815286737716E-8 -2.5312243362525846E-11	 -0.00008247229952618584 -2.5364595468756548E-11
0.2	4.5091552615240794E-8 -4.811957432772296E-11	 -0.00006378468561751015 -4.8229861908405854E-11
0.21	5.499155211855058E-8 -8.67700270074642E-11	0.000011344267383579848 -8.69893096115972E-11
0.22	6.857228339061681E-8 -3.699755242678905E-11	 -0.000018101670265374885 -3.7100180866253174E-11
0.23	8.924244454533437E-8 +1.3740971024395443E-10	 -0.000011919312425813767 +1.3782636704234661E-10
0.24	1.0290164460442426E-7 +3.069636026843597E-11	 -0.000027859325485427123 +3.079772181946117E-11
0.25	1.1586930690641482E-7 -2.6178185176462504E-11	0.0000317178484433619 -2.6271994161164204E-11
0.26	7.638859135362786E-8 +9.417789777772375E-11	5.715335519485409E-6 +9.454297444040187E-11
0.27	 -8.453379362760171E-9 -1.0302821095767022E-53	 -0.00002037009254982378 +5.1509809824883E-66
0.28	4.2730374803944136E-7 -1.1080195506873562E-53	 -5.393077513526089E-6 +5.539600964241438E-66
0.29	4.855766579607517E-7 -1.188584838526588E-53	1.3274091764864587E-6 +5.942352532338189E-66
0.3	3.1413520765702875E-7 -1.271978083370967E-53	6.773859021488757E-6 +6.359235781108546E-66
0.31	1.722190860702026E-7 -1.3581993993393934E-53	 -5.7892556748813434E-6 +6.790250647665846E-66
0.32	2.816731598582262E-7 -1.4472489043902682E-53	 -0.000013725962488551233 +7.2353971424912E-66
0.33	3.8259793312112864E-7 -1.539126720318707E-53	0.00001356378734642918 +7.69467528654683E-66
0.34	1.5095671882884668E-7 -1.633832972753443E-53	 -6.081398080226563E-6 +8.168085058870514E-66
0.35	4.272854904793685E-7 -1.7313677911538485E-53	 -1.723872309427137E-7 +8.655626469943361E-66
0.36	3.4711698733476455E-7 -1.8317313088067634E-53	 -0.000010078252207034876 +9.157299488322043E-66
0.37	3.3538572867068217E-7 -1.9349236628232062E-53	 -7.27148885670414E-6 +9.67310418737433E-66
0.38	5.241028722453907E-7 -2.0409449941350658E-53	9.980774173554449E-6 +1.020304049373245E-65
0.39	6.619068965029049E-7 -2.149795447491677E-53	 -0.000010079421714455823 +1.0747108438839734E-65
0.4	6.510610606356324E-7 -2.261475171456242E-53	2.2280381438411754E-6 +1.1305308064620625E-65
0.41	7.400821873362576E-7 -2.3759843184022764E-53	 -5.532924679932896E-6 +1.1877639266264018E-65
0.42	9.643157898206365E-7 -2.4933230445098526E-53	2.7303582992217386E-6 +1.2464102106656574E-65
0.43	1.0967362664457721E-6 -2.613491509761804E-53	 -5.410268253814154E-7 +1.3064696627722737E-65
0.44	1.0407229368004356E-6 -2.736489877939894E-53	6.200289471641545E-7 +1.3679422724651404E-65
0.45	1.2558965774834552E-6 -2.862318316620712E-53	8.623406449556922E-6 +1.4308280481291451E-65
0.46	1.3830671852561921E-6 -2.990976997171722E-53	 -4.58661332486193E-6 +1.4951269855718448E-65
0.47	1.4051881557930056E-6 -3.122466094747054E-53	1.195885061299072E-6 +1.5608390931781267E-65
0.48	1.5234505208296779E-6 -3.2567857882832124E-53	3.8020531496156474E-6 +1.627964364659325E-65
0.49	1.7489894755847765E-6 -3.3939362604947744E-53	6.038138876928866E-6 +1.696502785341886E-65
0.5	1.8821790947867013E-6 -3.533917697869987E-53	2.6429165226697173E-6 +1.766454384572917E-65
0.51	2.0572468483645474E-6 -3.676730290666145E-53	 -5.964803117274607E-8 +1.8378191351015325E-65
0.52	2.1489638948653295E-6 -3.8223742329050825E-53	2.951396484310412E-6 +1.9105970599861746E-65
0.53	2.3792132355453603E-6 -3.9708497223684157E-53	1.5948209074344453E-7 +1.984788146649511E-65
0.54	2.549907655230649E-6 -4.1221569605927747E-53	5.887441930780752E-6 +2.06039238251421E-65
0.55	2.752733230890511E-6 -4.276296152864889E-53	2.9676715217927147E-6 +2.137409805312267E-65
0.56	2.8998944927007253E-6 -4.433267508216713E-53	2.5171110810828376E-6 +2.215840373119243E-65
0.57	3.112343522262664E-6 -4.593071239420212E-53	3.098032399177723E-7 +2.295684108993579E-65
0.58	3.3836807233324473E-6 -4.755707562982419E-53	3.848570226423404E-6 +2.3769410192239417E-65
0.59	3.57352429517469E-6 -4.921176699140014E-53	4.122721544695827E-6 +2.459611080751889E-65
0.6	3.89735901849151E-6 -5.089478871854173E-53	4.249972471660191E-6 +2.5436943082509742E-65
0.61	4.091244263667211E-6 -5.260614308804997E-53	4.391161783227441E-6 +2.629190699624976E-65
0.62	4.371131327283337E-6 -5.434583241386237E-53	7.38390070594882E-6 +2.7161002527776726E-65
0.63	4.662395434667448E-6 -5.611385904699459E-53	5.802601146111509E-6 +2.8044229781901734E-65
0.64	4.973060580489893E-6 -5.791022537548615E-53	5.522754768402702E-6 +2.894158850707814E-65
0.65	5.3129141247101986E-6 -5.973493382434157E-53	5.076486523394566E-6 +2.9853079059663702E-65
0.66	5.622438778124311E-6 -6.158798685547188E-53	7.037054974158831E-6 +3.077870118811176E-65
0.67	5.954156921185295E-6 -6.346938696763711E-53	6.103513555570598E-6 +3.1718454913384545E-65
0.68	6.3052471699107405E-6 -6.5379136696384E-53	5.252653452800957E-6 +3.2672340193557614E-65
0.69	6.70568620400705E-6 -6.731723861398705E-53	6.915263487567497E-6 +3.364035725921539E-65
0.7	7.143542777030718E-6 -6.928369532938533E-53	6.2786231237002655E-6 +3.4622505900735666E-65
0.71	7.556043657858318E-6 -7.127850948812123E-53	8.031754563817714E-6 +3.561878618100511E-65
