0.28	-8.362279258520532 0.934078504772936	-6.9065769796728 5.7517284950022995
0.29	-8.512454344933701 0.9338936270989551	-7.056357835627512 5.8168014515766595
0.3	-8.65890885324874 0.9337246978531635	-7.202454058948169 5.879682379484253
0.31	-8.801843428697294 0.9335699024523308	-7.345061996430345 5.9405138604054475
0.32	-8.941442243945835 0.9334276798196373	-7.484362150263437 5.999425024649754
0.33	-9.077874793878582 0.9332966807750017	-7.620520867803295 6.056533189471506
0.34	-9.211297450529914 0.9331757342136915	-7.7536918058351665 6.1119452553009985
0.35	-9.341854811964007 0.9330638194460762	-7.884017214313153 6.165758902220808
0.36	-9.469680884512988 0.9329600434447831	-8.011629052591918 6.218063619349051
0.37	-9.594900108523342 0.9328636220259552	-8.136649981044442 6.268941594767598
0.38	-9.7176282752908 0.9327738642035844	-8.25919422528032 6.3184684878673645
0.39	-9.837973321051722 0.9326901591180403	-8.379368348204586 6.366714102247552
0.4	-9.956036040148069 0.9326119650643224	-8.497271929793731 6.413742974182409
0.41	-10.071910713956926 0.9325388002420087	-8.612998179628764 6.459614889138273
0.42	-10.18568567159383 0.9324702349238977	-8.726634473179725 6.50438533645931
0.43	-10.297443791744346 0.9324058847991901	-8.8382628403843 6.548105910895428
0.44	-10.407262950869933 0.9323454052934349	-8.947960399884346 6.590824668610482
0.45	-10.51521642610873 0.9322884867042777	-9.055799751502695 6.632586443043135
0.46	-10.621373258185615 0.932234850021312	-9.161849327289463 6.673433126709722
0.47	-10.725798578719521 0.9321842433218706	-9.266173710830586 6.713403922613254
0.48	-10.828553904533589 0.9321364386535299	-9.368833927149428 6.752535569546456
0.49	-10.92969740732362 0.9320912293293294	-9.469887700747263 6.790862544166072
0.5	-11.029284156068883 0.9320484275742299	-9.56938969759939 6.82841724285728
0.51	-11.127366338654069 0.9320078624714581	-9.667391739186458 6.865230145712197
0.52	-11.223993462721644 0.9319693781656471	-9.763943000055455 6.901329964579977
0.53	-11.31921253972899 0.9319328322866355	-9.859090188923096 6.936743777238561
0.54	-11.413068254277398 0.9318980945633639	-9.952877714398783 6.97149714896155
0.55	-11.505603117970576 0.9318650456019827	-10.045347834589908 7.0056142429650246
0.56	-11.59685760979262 0.9318335758062982	-10.136540797234051 7.03911792119339
0.57	-11.686870307857085 0.9318035844217679	-10.226494968346207 7.072029835908469
0.58	-11.775678006873664 0.9317749786871503	-10.315246948679244 7.104370513567668
0.59	-11.86331583127023 0.9317476730800746	-10.40283168257681 7.136159431519529
0.6	-11.949817333997535 0.9317215886448459	-10.489282558743984 7.167415088180441
0.61	-12.035214592533627 0.9316966523922787	-10.574631502509195 7.198155067624584
0.62	-12.119538294986247 0.9316727967629308	-10.658909061232821 7.228396098731864
0.63	-12.202817821634872 0.9316499591460872	-10.74214448575633 7.258154109833998
0.64	-12.28508131751698 0.9316280814480198	-10.82436580076151 7.287444278869216
0.65	-12.366355765723567 0.9316071097037392	-10.905599877478483 7.316281079852383
0.66	-12.446667047075973 0.9315869937273636	-10.985872494269183 7.344678325649405
0.67	-12.526040004807658 0.9315676867967012	-11.06520839746883 7.372649207683071
0.68	-12.604498497975694 0.9315491453682802	-11.143631357520613 7.400206332608362
0.69	-12.682065454213848 0.9315313288195094	-11.221164218283812 7.427361756350251
0.7	-12.758762918260768 0.9315141992150178	-11.297828946970874 7.454127015720231
0.71	-12.834612098642221 0.9314977210946461	-11.373646680306651 7.480513157811863
0.72	-12.909633408806812 0.9314818612807836	-11.448637763629701 7.506530767288074
0.73	-12.983846508060191 0.9314665887030581	-11.522821793544951 7.532189991821086
0.74	-13.057270338919288 0.9314518742386362	-11.596217653103192 7.557500565839788
0.75	-13.129923161809149 0.9314376905665157	-11.66884354789333 7.582471832635907
0.76	-13.201822588630659 0.9314240120344556	-11.740717037314319 7.607112765038092
0.77	-13.27298561208347 0.9314108145372981	-11.811855066360987 7.631431984742736
0.78	-13.34342863779013 0.9313980754055405	-11.882273993689207 7.655437780378304
0.79	-13.41316750845594 0.9313857733032358	-11.951989620013398 7.679138124461997
0.8	-13.482217531733333 0.9313738881342988	-12.021017212378483 7.702540689270347
0.81	-13.550593504015792 0.9313624009564294	-12.089371529447547 7.725652861631434
0.82	-13.618309733768758 0.9313512939019739	-12.1570668429492 7.748481757051759
0.83	-13.685380061312022 0.9313405501050881	-12.224116961040444 7.771034232759475
0.84	-13.751817882191327 0.9313301536345998	-12.290535245948798 7.793316900002698
0.85	-13.817636164202298 0.9313200894321193	-12.356334636471358 7.815336135803383
0.86	-13.882847466953251 0.9313103432548656	-12.42152766336372 7.837098093755228
0.87	-13.947463958293694 0.9313009016228773	-12.486126467713481 7.858608714425578
0.88	-14.011497431404683 0.9312917517701567	-12.550142817465566 7.879873735027911
0.89	-14.074959319882714 0.9312828815994554	-12.613588122317449 7.900898698643917
0.9	-14.137860713183832 0.9312742796403842	-12.676473448582819 7.921688962783061
0.91	-14.20021236890515 0.9312659350105638	-12.738809532883963 7.942249707709724
0.92	-14.26202472841515 0.9312578373795733	-12.800606795602647 7.962585944063606
0.93	-14.3233079273173 0.931249976935457	-12.861875353736178 7.982702520250838
0.94	-14.384071808669654 0.9312423443536005	-12.922625031421793 8.002604129298414
0.95	-14.444325934336838 0.9312349307677661	-12.982865373168165 8.022295315516782
0.96	-14.504079594937664 0.9312277277431386	-13.04260565290458 8.041780480631006
0.97	-14.56334182107861 0.9312207272511991	-13.101854885497099 8.061063889732788
0.98	-14.622121392418725 0.9312139216462978	-13.160621835964417 8.080149676855847
0.99	-14.680426847822016 0.9312073036438194	-13.218915028690994 8.099041850311384
1.	-14.73826649381452 0.9312008662997533	-13.276742756309423 8.117744297685707
1.01	-14.795648412752996 0.9311946029916517	-13.33411308862955 8.136260790687087
1.02	-14.852580471672994 0.9311885074007844	-13.391033880137467 8.154594989692008
1.03	-14.909070329360578 0.9311825734954751	-13.447512778099549 8.172750448083725
1.04	-14.96512544458109 0.931176795515478	-13.503557229826585 8.190730616361403
1.05	-15.0207530820186 0.9311711679573643	-13.559174489356058 8.208538846106391
1.06	-15.07596032011237 0.931165685560787	-13.614371624682667 8.22617839366811
1.07	-15.130754056523324 0.9311603432956539	-13.669155524124042 8.243652423834659
1.08	-15.185141015248036 0.9311551363500237	-13.723532901899986 8.26096401313115
1.09	-15.23912775202949 0.9311500601187997	-13.77751030505851 8.278116153140553
1.1	-15.292720659893297 0.9311451101930651	-13.831094118269434 8.295111753558027
1.11	-15.345925975006692 0.9311402823500732	-13.884290569132077 8.311953645195818
1.12	-15.3987497815877 0.9311355725438297	-13.93710573404959 8.32864458274701
1.13	-15.451198016645131 0.931130976896235	-13.989545543183192 8.345187247569632
1.14	-15.50327647556386 0.9311264916887233	-14.04161578396932 8.361584250181762
1.15	-15.554990815895678 0.9311221133544071	-14.093322107215684 8.37783813280078
1.16	-15.606346561717832 0.931117838470669	-14.144670030961217 8.39395137165755
1.17	-15.657349108636533 0.9311136637521523	-14.195664944038079 8.409926379319526
1.18	-15.70800372755138 0.9311095860441734	-14.24631211096408 8.425765506790093
1.19	-15.758315567363304 0.9311056023164979	-14.296616675580644 8.441471045602286
1.2	-15.808289660942153 0.9311017096574413	-14.346583664452249 8.457045229842372
1.21	-15.857930926629468 0.9310979052683231	-14.396217990970554 8.472490238031423
1.22	-15.907244172745262 0.9310941864582019	-14.44552445833748 8.4878081949011
1.23	-15.95623410100192 0.9310905506389056	-14.494507763179135 8.503001173268101
1.24	-16.004905309166997 0.9310869953203224	-14.543172498382308 8.51807119558919
1.25	-16.053262294354024 0.9310835181059522	-14.591523156802282 8.53302023565637
1.26	-16.101309456665927 0.9310801166886806	-14.639564133521056 8.54785022011848
1.27	-16.149051100372017 0.931076788846787	-14.687299729219433 8.562563029953925
1.28	-16.196491438540885 0.9310735324401497	-14.73473415270945 8.577160501951425
1.29	-16.243634594735703 0.9310703454066551	-14.78187152308413 8.591644430035243
1.3	-16.290484604878667 0.9310672257587826	-14.828715873328385 8.606016566609622
1.31	-16.337045422137145 0.9310641715803785	-14.875271152358689 8.62027862381419
1.32	-16.383320915802656 0.9310611810235739	-14.92154122644824 8.63443227479546
1.33	-16.42931487688272 0.9310582523058636	-14.967529882773425 8.648479154819515
1.34	-16.475031018352844 0.9310553837073439	-15.013240831105817 8.662420862432297
1.35	-16.520472977864756 0.9310525735680626	-15.058677705890814 8.676258960561126
1.36	-16.56564431968691 0.931049820285524	-15.1038440686975 8.68999497756003
1.37	-16.610548537080003 0.9310471223122906	-15.148743409783993 8.703630408221995
1.38	-16.65518905374126 0.931044478153728	-15.193379149588159 8.71716671473417
1.39	-16.699569225405646 0.9310418863658303	-15.237754641868317 8.73060532763901
1.4	-16.743692343214875 0.9310393455531636	-15.281873174087682 8.743947646750893
1.41	-16.787561633099003 0.9310368543669185	-15.325737970334849 8.757195042010283
1.42	-16.831180259210694 0.9310344115030278	-15.369352192328279 8.770348854337428
1.43	-16.874551325048483 0.9310320157003897	-15.412718941054404 8.783410396426763
1.44	-16.917677874917228 0.9310296657391669	-15.455841258424991 8.796380953557428
1.45	-16.960562895496285 0.9310273604391709	-15.498722128884848 8.809261784351584
1.46	-17.00320931720359 0.9310250986583137	-15.541364480837423 8.822054121497013
