0.3	0.00007892370424 0.0001025455668 I
0.35	0.00001642665963 0.0001276552401 I
0.4	-0.000008685030055 0.0001347882069 I
0.45	-0.00002131023156 0.0001443139953 I
0.5	-0.00002838222083 0.0001563076434 I
0.55	-0.00003127033853 0.0001695511244 I
0.6	-0.00002945498092 0.0001833652354 I
0.65	-0.00002170404944 0.000197685873 I
0.7	-0.00000647654687 0.0002129592293 I
0.75	0.00001792315869 0.0002301387271 I
0.8	0.00005307093366 0.0002501648151 I
0.85	0.0001027143508 0.0002732137456 I
0.9	0.0001762895134 0.0003028471581 I
0.95	0.0002968858747 0.0003676719859 I
1.	0.0002708892281 0.0004758533795 I
1.05	0.0004694150149 0.0004955565096 I
1.1	0.000692944329 0.0006892348027 I
1.15	0.0008393472256 0.001092274605 I
1.2	0.0007116988023 0.001540545886 I
1.25	0.0002872344905 0.002020249153 I
1.3	-0.0004990559122 0.001647512571 I
1.35	-0.0003393786994 0.0009831479847 I
1.4	0.0001706331766 0.0007328189129 I
1.45	0.0008006289112 0.0008324829329 I
1.5	0.001323221122 0.00139533604 I
1.55	0.001335385029 0.002117466776 I
1.6	0.001089999482 0.002543254538 I
1.65	0.0008947945507 0.00277423505 I
1.7	0.0007710176855 0.002950363979 I
1.75	0.0006879567217 0.003117030285 I
1.8	0.0006264426545 0.003284965822 I
1.85	0.0005771267306 0.003456431392 I
1.9	0.0005353510901 0.00363186566 I
1.95	0.000498585198 0.003811342692 I
2.	0.0004653254692 0.003994868211 I
2.05	0.0004346103948 0.004182435754 I
2.1	0.0004057931005 0.004374037718 I
2.15	0.0003784186585 0.004569666285 I
2.2	0.0003521579814 0.004769314028 I
2.25	0.0003267669742 0.004972973894 I
2.3	0.0003020609913 0.005180639183 I
2.35	0.0002778981009 0.005392303529 I
2.4	0.0002541677625 0.005607960891 I
2.45	0.0002307829569 0.00582760553 I
2.5	0.000207674587 0.006051232001 I
2.55	0.0001847874134 0.006278835136 I
2.6	0.0001620770516 0.006510410034 I
2.65	0.000139507718 0.006745952051 I
2.7	0.0001170505143 0.006985456784 I
2.75	0.00009468210519 0.007228920066 I
2.8	0.00007238368727 0.007476337955 I
2.85	0.00005014017938 0.007727706725 I
2.9	0.00002793957094 0.007983022854 I
2.95	0.000005772411359 0.008242283024 I
3.	-0.00001636861229 0.008505484104 I
3.05	-0.00003848901514 0.008772623151 I
3.1	-0.00006059279367 0.009043697398 I
3.15	-0.00008268265601 0.00931870425 I
3.2	-0.0001047602129 0.009597641276 I
3.25	-0.0001268261368 0.009880506205 I
3.3	-0.0001488802941 0.01016729692 I
3.35	-0.0001709218623 0.01045801146 I
3.4	-0.0001929494184 0.01075264798 I
3.45	-0.0002149610238 0.01105120482 I
3.5	-0.0002369542916 0.01135368041 I
3.55	-0.0002589264458 0.01166007334 I
3.6	-0.0002808743719 0.0119703823 I
3.65	-0.0003027946599 0.01228460613 I
3.7	-0.000324683642 0.01260274377 I
3.75	-0.0003465374254 0.01292479428 I
3.8	-0.0003683519201 0.01325075683 I
3.85	-0.0003901228638 0.0135806307 I
3.9	-0.000411845843 0.01391441527 I
3.95	-0.000433516312 0.01425211003 I
4.	-0.0004551296096 0.01459371456 I
4.05	-0.0004766809729 0.01493922853 I
4.1	-0.0004981655504 0.01528865173 I
4.15	-0.0005195784099 0.01564198401 I
4.2	-0.0005409145606 0.01599922532 I
4.25	-0.000562168945 0.01636037571 I
4.3	-0.0005833364568 0.0167254353 I
4.35	-0.0006044119457 0.01709440428 I
4.4	-0.0006253902235 0.01746728294 I
4.45	-0.0006462660694 0.01784407164 I
4.5	-0.000667034235 0.01822477081 I
4.55	-0.0006876894484 0.01860938096 I
4.6	-0.0007082264184 0.01899790266 I
4.65	-0.0007286398377 0.01939033657 I
4.7	-0.0007489243863 0.01978668341 I
4.75	-0.0007690747338 0.02018694395 I
4.8	-0.0007890855422 0.02059111904 I
4.85	-0.0008089514683 0.0209992096 I
4.9	-0.0008286671654 0.02141121659 I
4.95	-0.000848227285 0.02182714105 I
5.	-0.000867626479 0.02224698408 I
5.05	-0.0008868594005 0.02267074682 I
5.1	-0.0009059207054 0.02309843047 I
5.15	-0.0009248050537 0.0235300363 I
5.2	-0.0009435071103 0.02396556562 I
5.25	-0.0009620215462 0.02440501981 I
5.3	-0.0009803430391 0.02484840027 I
5.35	-0.0009984662745 0.02529570848 I
5.4	-0.001016385946 0.02574694595 I
5.45	-0.001034096756 0.02620211425 I
5.5	-0.001051593409 0.026661215 I
5.55	-0.001068870642 0.02712424986 I
5.6	-0.00108592318 0.02759122052 I
5.65	-0.001102745766 0.02806212874 I
5.7	-0.001119333157 0.02853697632 I
5.75	-0.001135680117 0.02901576508 I
5.8	-0.001151781426 0.02949849691 I
5.85	-0.001167631873 0.02998517372 I
5.9	-0.001183226262 0.03047579748 I
5.95	-0.001198559407 0.03097037017 I
6.	-0.001213626136 0.03146889383 I
6.05	-0.001228421292 0.03197137054 I
6.1	-0.001242939727 0.03247780241 I
6.15	-0.001257176309 0.03298819159 I
6.2	-0.001271125918 0.03350254025 I
6.25	-0.001284783449 0.03402085062 I
6.3	-0.00129814381 0.03454312494 I
6.35	-0.001311201921 0.03506936551 I
6.4	-0.001323952717 0.03559957464 I
6.45	-0.001336391146 0.03613375468 I
6.5	-0.001348512171 0.03667190802 I
6.55	-0.001360310768 0.03721403708 I
6.6	-0.001371781926 0.03776014428 I
6.65	-0.001382920649 0.03831023212 I
6.7	-0.001393721955 0.0388643031 I
6.75	-0.001404180874 0.03942235975 I
6.8	-0.001414292451 0.03998440463 I
6.85	-0.001424051746 0.04055044035 I
6.9	-0.001433453831 0.0411204695 I
6.95	-0.001442493793 0.04169449475 I
7.	-0.001451166731 0.04227251877 I
7.05	-0.00145946776 0.04285454425 I
7.1	-0.001467392008 0.04344057392 I
7.15	-0.001474934617 0.04403061053 I
7.2	-0.001482090741 0.04462465686 I
7.25	-0.00148885555 0.04522271571 I
7.3	-0.001495224226 0.04582478991 I
7.35	-0.001501191966 0.04643088229 I
7.4	-0.00150675398 0.04704099574 I
7.45	-0.001511905475 0.04765513315 I
7.5	-0.001516641717 0.04827329743 I
7.55	-0.001520957943 0.04889549154 I
7.6	-0.001524849417 0.04952171843 I
7.65	-0.001528311416 0.05015198108 I
7.7	-0.001531339232 0.0507862825 I
7.75	-0.001533928167 0.05142462572 I
7.8	-0.00153607354 0.05206701379 I
7.85	-0.001537770681 0.05271344977 I
7.9	-0.001539014934 0.05336393675 I
7.95	-0.001539801655 0.05401847784 I
8.	-0.001540126216 0.05467707617 I
8.05	-0.001539983999 0.05533973488 I
8.1	-0.001539370385 0.05600645714 I
8.15	-0.001538280817 0.05667724613 I
8.2	-0.001536710699 0.05735210505 I
8.25	-0.001534655467 0.05803103714 I
8.3	-0.001532110569 0.05871404561 I
8.35	-0.001529071466 0.05940113373 I
8.4	-0.001525533633 0.06009230478 I
8.45	-0.001521492556 0.06078756204 I
8.5	-0.001516943734 0.06148690883 I
